Аудио: CONFIG / SFX / streams	Audio: CONFIG / SFX / streams	Audio: CONFIG / SFX / streams
BankSlot.dat отсутствует или ≤ 2 байт — LoadBankSlotFile 0x4E0590 → 0 → CAEAudioHardware::Initialise fail → GetTrackPlayTime 0x4F1537 разыменует m_pStreamingChannel = NULL → краш при первом CAudioEngine::Service	BankSlot.dat missing or ≤ 2 bytes — LoadBankSlotFile 0x4E0590 → 0 → CAEAudioHardware::Initialise fails → GetTrackPlayTime 0x4F1537 dereferences m_pStreamingChannel = NULL → crash on the first CAudioEngine::Service	Falta BankSlot.dat o mide ≤ 2 bytes — LoadBankSlotFile 0x4E0590 → 0 → CAEAudioHardware::Initialise falla → GetTrackPlayTime 0x4F1537 desreferencia m_pStreamingChannel = NULL → crash en el primer CAudioEngine::Service
длина %u ≠ 2 + %d × 4820 — %s	length %u ≠ 2 + %d × 4820 — %s	longitud %u ≠ 2 + %d × 4820 — %s
Read(len−2) переполняет new(count×0x12D4)	Read(len−2) overflows new(count×0x12D4)	Read(len−2) desborda new(count×0x12D4)
хвост блока не инициализирован → мусорные размеры слотов → Malloc(мусор)	tail of the block left uninitialised → garbage slot sizes → Malloc(garbage)	la cola del bloque queda sin inicializar → tamaños de slot basura → Malloc(basura)
слот %d размера 0 — любая загрузка в него = переполнение следующего слота	slot %d has size 0 — any load into it overflows the next slot	slot %d de tamaño 0 — cualquier carga en él desborda el slot siguiente
%d слотов — exe запрашивает слоты до 42 (40 двигатель игрока, 41 generic feet, 42 bullet pass); запрос слота == count проходит (cmp di,[esi+0xC]; jg) → Service пишет таблицу звуков за массивом слотов → порча кучи	%d slots — the exe requests slots up to 42 (40 player engine, 41 generic feet, 42 bullet pass); a request for slot == count passes (cmp di,[esi+0xC]; jg) → Service writes the sound table past the slot array → heap corruption	%d slots — el exe pide slots hasta el 42 (40 motor del jugador, 41 generic feet, 42 bullet pass); la petición del slot == count pasa (cmp di,[esi+0xC]; jg) → Service escribe la tabla de sonidos fuera del array de slots → corrupción del heap
%d слотов — слоты 40..42 молча выброшены: нет звука двигателя игрока / generic feet / bullet pass	%d slots — slots 40..42 silently dropped: no player engine sound / generic feet / bullet pass	%d slots — los slots 40..42 se descartan en silencio: sin sonido de motor del jugador / generic feet / bullet pass
%d слотов (ваниль 45; слоты 43/44 exe не запрашивает)	%d slots (vanilla 45; slots 43/44 are never requested by the exe)	%d slots (vanilla 45; el exe nunca pide los slots 43/44)
сумма размеров слотов %llu ≠ ванильных 8578144 (m_nBufferSize)	sum of slot sizes %llu ≠ vanilla 8578144 (m_nBufferSize)	suma de tamaños de slots %llu ≠ 8578144 de vanilla (m_nBufferSize)
BankLkup.dat отсутствует или пуст — LoadBankLookupFile 0x4DFBD0 → 0 → краш инициализации аудио (AUD-01)	BankLkup.dat missing or empty — LoadBankLookupFile 0x4DFBD0 → 0 → audio init crash (AUD-01)	Falta BankLkup.dat o está vacío — LoadBankLookupFile 0x4DFBD0 → 0 → crash al inicializar el audio (AUD-01)
размер %u не кратен 12 — new((len/12)×12), Read(len) → переполнение кучи на %u байт	size %u not a multiple of 12 — new((len/12)×12), Read(len) → heap overflow by %u bytes	tamaño %u no múltiplo de 12 — new((len/12)×12), Read(len) → desbordamiento del heap de %u bytes
нет голосов педов %d..709	no ped voices %d..709	sin voces de peatones %d..709
, нет mission/script-аудио %d..364	, no mission/script audio %d..364	, sin audio de misión/script %d..364
, нет GENRL-банков %d..143	, no GENRL banks %d..143	, sin bancos GENRL %d..143
%d записей < 710 — банки с id ≥ %d немы (%s)%s	%d records < 710 — banks with id ≥ %d are mute (%s)%s	%d registros < 710 — los bancos con id ≥ %d quedan mudos (%s)%s
; банк %d грузится при старте: GetBankLookup 0x4E01C0 вернёт NULL при bankId == count → mov cl,[eax] → краш при запуске	; bank %d is loaded at startup: GetBankLookup 0x4E01C0 returns NULL for bankId == count → mov cl,[eax] → crash at launch	; el banco %d se carga al arrancar: GetBankLookup 0x4E01C0 devuelve NULL con bankId == count → mov cl,[eax] → crash al arrancar
; банк %d есть в таблице mission-аудио / сканера / машин: GetBankLookup → NULL при bankId == count → краш в момент первого запроса (сборка без этого события работает)	; bank %d is in the mission-audio / scanner / vehicle table: GetBankLookup → NULL for bankId == count → crash on its first request (a build that never triggers that event runs)	; el banco %d está en la tabla de audio de misión / escáner / vehículos: GetBankLookup → NULL con bankId == count → crash en su primera petición (una build que nunca dispara ese evento funciona)
Сохрани 710 записей BankLkup.dat (лишние банки могут указывать на любой пак), либо убедись, что ни один звук с id ≥ count не запрашивается.	Keep 710 records in BankLkup.dat (the extra banks may point at any pak), or make sure no sound with id ≥ count is ever requested.	Conserva 710 registros en BankLkup.dat (los bancos sobrantes pueden apuntar a cualquier pak) o asegúrate de que nunca se pida un sonido con id ≥ count.
PakFiles.dat отсутствует или пуст — LoadSFXPakLookupFile 0x4DFC70 → 0 → краш инициализации аудио	PakFiles.dat missing or empty — LoadSFXPakLookupFile 0x4DFC70 → 0 → audio init crash	Falta PakFiles.dat o está vacío — LoadSFXPakLookupFile 0x4DFC70 → 0 → crash al inicializar el audio
размер %u не кратен 52 — переполнение кучи на %u байт	size %u not a multiple of 52 — heap overflow by %u bytes	tamaño %u no múltiplo de 52 — desbordamiento del heap de %u bytes
